Id,Label,League
27049,CS Scandicci 1908,Other
2795,Raith Rovers FC,Other
15372,Club Atlético Independiente II,Other
3052,Sutton United,Other
21474,HR Maceratese,Other
37177,UkrAhroKom Holovkivka,Other
3622,IFK Värnamo,Other
10542,FC Madalena,Other
8969,Tikves Kavadarci,Other
7989,Keravnos Kerateas,Other
1427,Türkiyemspor Berlin,Other
4106,Casertana FC,Other
8877,Athletic Eskilstuna,Other
2421,SC Freamunde,Other
14084,Churchill Brothers SC,Other
20532,SK Hlavice,Other
2028,Wits University,Other
27448,CD Roda,Other
8728,Aviron Bayonnais,Other
1414,Amora FC,Other
3837,Fredrikstad FK,Other
11204,Stade Reims B,Other
57072,Akrites Sykeon,Other
1978,FC Wohlen,Other
1378,SC Untersiebenbrunn,Other
1150,Leyton Orient,Other
16179,Asociación Atlética Argentinos Juniors II,Other
26007,Olímpic Xàtiva,Other
18231,Boyacá Patriotas FC,Other
13064,Grêmio Esportivo Glória (RS),Other
16890,Flint City Bucks,Other
24574,Gretna FC 2008,Other
64613,SK Cernolice,Other
25807,GD Fabril Barreiro,Other
7714,Olympique Noisy-le-Sec,Other
44367,FC Pepingen,Other
21429,SV Lebring,Other
14340,SK Slavia Prag U19,Other
14970,SV Bad Goisern,Other
18766,Innsbrucker SK,Other
63954,FC Barcelona C,Other
628,FK Velez Mostar,Other
5752,Goiânia Esporte Clube (GO),Other
34828,Istiqlol Dushanbe,Other
12453,MSV Eisleben,Other
22130,Abano Calcio,Other
21849,Esporte Clube Ipitanga Bahia (BA),Other
27661,FC Neapolis Mugnano,Other
14888,US Città di Pontedera,Other
4392,Clube Atlético Hermann Aichinger (SC),Other
803,Eimsbütteler TV,Other
37288,Achilleas Neokesarias,Other
10427,FC Ameri Tiflis,Other
4320,SC/ESV Parndorf,Other
9802,FC Le Mans B,Other
27088,HV & CV Quick,Other
3225,K Patro Maasmechelen,Other
31501,Canoas Sport Club (RS),Other
11006,NK Interblock Ljubljana,Other
2376,Aydinspor 1923,Other
67909,Sporting CP U23,Other
29769,Tiszabecs LC,Other
26911,AFAD Djékanou,Other
39026,HNK Djakovo Croatia,Other
10709,ADO Den Haag U19,Other
16618,Yunit Samara,Other
42870,Riostrense Esporte Clube,Other
3140,FK Hajduk Kula,Other
61052,AO Paleochoras,Other
22409,Cavese Juniores,Other
267,IK Start,Other
