source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
18950,458,1,0,0,1,0,0,0,0,0,0,0,0
2250,46,15,0,0,13,2,0,0,0,0,0,0,0
1,42,3,0,0,3,0,0,0,0,0,0,0,0
4482,6994,4,0,0,1,1,2,0,0,0,0,0,0
449,3205,10,0.00285,0.003059253,2,6,2,0,0.00285,0,0,0.003059253,0
2844,2293,1,0,0,0,0,1,0,0,0,0,0,0
3709,2867,2,0,0,1,1,0,0,0,0,0,0,0
3368,2698,1,0,0,0,1,0,0,0,0,0,0,0
2698,1091,2,0,0,0,2,0,0,0,0,0,0,0
409,1387,1,0,0,0,1,0,0,0,0,0,0,0
419,338,5,0.2109,0.414258178,3,1,1,0.1881,0.0228,0,0.405249169,0.009009009,0
13716,58943,2,0,0,0,2,0,0,0,0,0,0,0
1004,2375,1,0,0,0,0,1,0,0,0,0,0,0
3345,3336,3,0,0,1,1,1,0,0,0,0,0,0
33,31,1,0,0,1,0,0,0,0,0,0,0,0
244,1005,1,0,0,0,0,1,0,0,0,0,0,0
1775,618,2,0.0707,0.06597611,0,2,0,0,0.0707,0,0,0.06597611,0
1426,8554,1,0,0,0,0,1,0,0,0,0,0,0
377,8684,11,0,0,9,2,0,0,0,0,0,0,0
